,desc,location,logo,number,accident
735,鲁A9971y名爵和鲁A3283h中华事故无伤,全福立交桥转盘下,"['名爵', '中华']","['鲁A9971Y', '鲁A3283H']",未知
736,一轿车撞另一轿车后逃逸,248与316线处,[],[],相撞
737,报警人称福特与比亚迪事故鲁aa752w鲁j5z569无伤亡,旅游路洪山圣都路口,"['福特', '比亚迪']","['鲁AA752W', '鲁J5Z569']",未知
738,鲁V7B365凯迪拉克13153137979与轿车刮擦鲁v车的老板报警不走快处要求交警现场处理,花园路华信路口西100米,['凯迪拉克'],['鲁V7B365'],刮擦
739,别克鲁AE28K9与尼桑鲁AN2E61事故人没事请求处理,取消  泺口通讯城门口,['别克'],"['鲁AE28K9', '鲁AN2E61']",未知
740,广电设备箱被车撞坏车辆逃逸无伤,柳埠镇刘家村闫家办事处门口,[],[],未知
741,快处中华鲁jpa557与出租车鲁at4175刮擦人没事,快处：青岛路与淄博路路口东100米路南,['中华'],"['鲁JPA557', '鲁AT4175']",刮擦
742,吉普鲁AK39Y9与途观鲁AB22G0事故无伤亡,顺河高架下 玉函银座体育馆北边70米左右,[],"['鲁AK39Y9', '鲁AB22G0']",未知
743,鲁w26237别克与鲁a269q2大众刮擦对方耍横威胁协商不成要求民警到,历下大润发东门,"['别克', '大众']","['鲁W26237', '鲁A269Q2']",刮擦
744,报警人称摩托车撞倒树上人受伤,仁风去史家的路上,[],[],未知
745,两电动车刮擦第三方受伤,经五路小纬六路口,[],[],刮擦
746,鲁agw595奔驰撞马路牙子车损超5000,王官庄小区9区8号楼前道路,['奔驰'],['鲁AGW595'],相撞
747,电动车与五菱面包车鲁AH8H23刮擦无伤亡,中恒北门对面,[],['鲁AH8H23'],刮擦
748,保时捷与摩托车助力车无牌事故人受伤鲁A110WE,龙奥北路 汉峪金谷南门门口,['保时捷'],['鲁A110WE'],未知
749,标致鲁ak928e撞孩子腿部受伤不需要120,催警 段店立交桥下南侧  ,['标致'],['鲁AK928E'],相撞
750,马自达鲁av8h57与面包车鲁a085Ln事故无伤亡,济泺路长途汽车站 北区  北侧  ,['马自达'],"['鲁AV8H57', '鲁A085LN']",未知
751,17年9月13日的事故出租车鲁AT3474与小型SUV事故车号不详当时双方想私了现在协商不了,二环东路和平路口,[],['鲁AT3474'],未知
752,赛欧与轿车事故无伤亡对方车辆新车无车牌鲁AHY070,济洛路 洛口 服装城 博尔国际酒店门口,[],['鲁AHY070'],未知
753,传奇鲁A267A7与吉普鲁W136P追尾人没事协商不成要求交警到,催警：阳光新路郎茂山路口北,[],['鲁A267A7'],相撞
754,大巴车鲁AJ0860与公交车鲁A03308F事故有一人头疼自行联系120,经十西路与齐州路路口,[],['鲁AJ0860'],未知
755,荣威鲁AR333K与无牌摩托车事故人轻伤,北外环小鲁庄路段路北主干道,[],['鲁AR333K'],未知
756,15路公交车鲁ab3852与客车鲁ab9518刮擦无法走快速理赔,堤口路长途客运中心路口,[],"['鲁AB3852', '鲁AB9518']",刮擦
757,电动车与鲁FJ0U05大众尚酷事故人没事,王官庄小区四区19号楼,['大众'],['鲁FJ0U05'],未知
758,宝骏鲁A730q2与外卖摩托车事故人受伤,长途汽车站下桥口北侧辅道东向西,[],['鲁A730Q2'],未知
759,鲁a230qk宝马与别克鲁ae20g2刮擦双方已去附近中队,备案：奥体中心北门经十路上,"['宝马', '别克']","['鲁A230QK', '鲁AE20G2']",刮擦
760,雪佛兰鲁A07H95与广汽传祺冀QD576K责任不明确,二环东路南全福街东口,['雪佛兰'],"['鲁A07H95', '冀QD576K']",未知
761,三轮车刮擦了自己鲁AM5Y26白色轿车后逃逸无伤,还乡店工业北路和清河南路中间路上,[],['鲁AM5Y26'],刮擦
762,鲁A959V黑色轿车撞了其电动车后逃逸无伤亡,窑头路1-27号 统一银座正对面,[],[],相撞
763,朗逸鲁A269Q2与对方别克鲁W26637事故无伤亡,历山路历下大润发门口,['别克'],"['鲁A269Q2', '鲁W26637']",未知
764,白色别克鲁ac064y放在此处被刮擦对方逃逸无伤求助调取监控,历下大润发停车场,['别克'],['鲁AC064Y'],刮擦
765,前天晚上雷克萨斯鲁A652TD与黑色奥迪事故车号不详,崇华路工业南路口,"['雷克萨斯', '奥迪']",['鲁A652TD'],未知
766,鲁w26237别克与鲁a269q2大众刮擦,快处：历下大润发东门,"['别克', '大众']","['鲁W26237', '鲁A269Q2']",刮擦
767,丰田鲁ac956b与宝马鲁al710q事故无伤,催警：泺口皮革城地下停车场,"['丰田', '宝马']","['鲁AC956B', '鲁AL710Q']",未知
768,鲁V7B365凯迪拉克13153137979与轿车刮擦鲁v车驾驶员报警要求交警现场处理,催警：花园路华信路口西100米,['凯迪拉克'],['鲁V7B365'],刮擦
769,两个电动车事故人受伤一方处于昏迷状态已拨打120,经四路万达对面,[],[],未知
770,货车与三轮车事故鲁AZ339P有人受伤,工业北路大新河南一点,[],['鲁AZ339P'],未知
771,对方电动车与日产鲁A36128事故无伤亡,二环东路东环国际广场,['日产'],['鲁A36128'],未知
772,宝马鲁AH7H25白色吉利鲁AA33756吉利逃逸,世购停车场李,['宝马'],['鲁AH7H25'],未知
773,124鲁a5121r大众与拖车鲁a2z913刮擦大众被拖车拖走后现在失联,工业北路张马屯小区门口,"['大众', '大众']","['鲁A5121R', '鲁A2Z913']",刮擦
774,报警人称两电动车事故无伤亡,汽车站总站建设银行门口,[],[],未知
775,大众鲁a08v87与金杯面包车鲁a706fr事故无伤亡,催警 二环东路 七里堡 铁路桥  北往南,"['大众', '金杯']","['鲁A08V87', '鲁A706FR']",未知
776,鲁A6M537鲁NVC556两辆轿车事故无伤现在双方协商不了,催警：山大北路往南100米汇科旺园门口闵子骞路上,[],"['鲁A6M537', '鲁NVC556']",未知
777,报警人称面包撞树上了,山水路高速桥下,[],[],相撞
778,鲁A085LN长安与鲁AZ8H57事故无伤亡,北园高架桥下济洛路路口东20米,['长安'],"['鲁A085LN', '鲁AZ8H57']",未知
779,报警人称2月1日的事故报警人母亲骑电动车与鲁A85U31吉利发生事故现在协商不了需要交警处理,工业北路238号电力一公司宿舍,[],['鲁A85U31'],未知
780,两辆电动车相撞人受伤,中医院南门往东,[],[],相撞
781,长安鲁av919l放在此处被别克鲁aw2j65刮擦别克逃逸无伤,槐荫区大金新苑卫生院门口,"['长安', '别克', '别克']","['鲁AV919L', '鲁AW2J65']",刮擦
782,报警人称电动车轿车相撞,鲁中康桥,[],[],相撞
783,吉普鲁F0h002与起亚鲁A653k0事故无人受伤,马鞍山路52号,['起亚'],"['鲁F0H002', '鲁A653K0']",未知
784,报警人称轿车撞电动车,黄河路,[],[],相撞
785,一辆自行车与一辆白色轿车车号不详往西逃逸刮擦有人受伤不需120,经六路123号门口,[],[],刮擦
786,鲁a8376u和鲁ah1775刮擦,快处：领秀城贵和西门,[],"['鲁A8376U', '鲁AH1775']",刮擦
787,鲁a5353X别克与鲁at7031与鲁a86217雷克萨斯追尾人受伤现在出租车不让当事人走,催警 建设路与经十路口东北角,"['别克', '雷克萨斯']","['鲁A5353X', '鲁AT7031', '鲁A86217']",相撞
788,鲁pq9396大众与鲁a658py丰田与鲁a871pb路虎追尾车损超5000,催警 二环东路倪氏海泰酒店门口,"['大众', '丰田', '路虎']","['鲁PQ9396', '鲁A658PY', '鲁A871PB']",相撞
789,飞度鲁A10730与鲁AK1820东风日产事故无伤亡,济齐路东堡信号灯处,"['东风', '日产']","['鲁A10730', '鲁AK1820']",未知
790,5555,,[],[],未知
791,iiiii,,[],[],未知
792,车放在这里不知道被谁刮了,取消：营市东街12号,[],[],刮擦
793,飞度鲁A10730与鲁AK1820东风日产事故无伤亡,快处：济齐路东堡信号灯处,"['东风', '日产']","['鲁A10730', '鲁AK1820']",未知
794,一辆铃木雨燕鲁AV1Q38与一辆哈佛鲁A806tr追尾无人受伤车损超五千,郭店街道办事处东3公里 102省道与山前小区门口交汇处 进小区方向,['铃木'],"['鲁AV1Q38', '鲁A806TR']",相撞
795,快处鲁A666M1鲁AAK573,快处：历城区辛祝路保利海德公馆门口,[],"['鲁A666M1', '鲁AAK573']",未知
796,轿车鲁A8M730怀疑被三轮刮擦肇事逃逸,中海广场第二停车场,[],['鲁A8M730'],刮擦
797,轿车与电动车相撞,建筑公司路口,[],[],相撞
798,快处鲁ANV287鲁AP356Y,快处：建设路泉景天元,[],"['鲁ANV287', '鲁AP356Y']",未知
799,鲁a110sl起亚与货车鲁a7d579倒车事故,备案;西周南路祝甸路口南10米路东,['起亚'],"['鲁A110SL', '鲁A7D579']",未知
800,马六鲁ATT068与电动车已打120,经十路燕山立交东南角中公大厦门口,[],['鲁ATT068'],未知
801,鲁ANM120与鲁AU432V事故双方对事故有争议,凤凰山国际名酒城地下一层停车场,[],"['鲁ANM120', '鲁AU432V']",未知
802,咨询,咨询,[],[],未知
803,一辆出租车鲁AT7541与一辆电动车相撞有人受伤不需120,堤口庄北路西头加油站门口,[],['鲁AT7541'],相撞
804,鲁a32177江淮与鲁at0305刮擦,备案：堤口路天发顺和酒店东临,['江淮'],"['鲁A32177', '鲁AT0305']",刮擦
805,两车追尾人没事车能开,快处：燕子山西路经十路路口 ,[],[],相撞
806,报警人称2月3日对方一辆公交车未看到几路路过时刮断了电线刮到空调主机和商店牌子无伤亡通过监控看到的,担邮路玉清水厂北邻 靠近昊兴荣酒店,[],[],未知
807,轿车电动车事故人没事,银东富群路口南侧,[],[],未知
808,鲁AV8S57马自达与面包车鲁A085LN刮擦,取消  济洛路长途汽车站北区,['马自达'],"['鲁AV8S57', '鲁A085LN']",刮擦
809,厢货鲁ay339p与电动三轮车事故不需要120伤者已去医院,催警  大辛庄 南侧大辛河西侧,[],['鲁AY339P'],未知
810,鲁ra9996奥迪与临鲁atk535现代孕妇受惊吓,经十路济南14中门口,"['奥迪', '现代']","['鲁RA9996', '鲁ATK535']",未知
811,电动三轮车与轿车相撞人没事,孙耿艾老村往西干渠南2公里,[],[],相撞
812,尼桑鲁az070n与宝马鲁au9v69事故无伤,成丰桥与天成路路口东北角,['宝马'],"['鲁AZ070N', '鲁AU9V69']",未知
813,海马鲁AK0E95与大众鲁A588KT事故无伤亡,英雄山路与二七南路路口,"['海马', '大众']","['鲁AK0E95', '鲁A588KT']",未知
814,货车鲁A62787与别克鲁AQ235N刮擦无人员伤亡,工业北路郭店高速路口,['别克'],"['鲁A62787', '鲁AQ235N']",刮擦
815,电动三轮与电动车事故受伤不要120,普利街自来水厂西门门口,[],[],未知
816,吉利鲁A310NC撞了电动车人受伤济洛路北外环西1公里,北外环泺口新村 ,[],['鲁A310NC'],相撞
817,报警人称出租车与大众事故鲁at9327鲁jkx339无伤亡,北园高架明湖北路下桥口,['大众'],"['鲁AT9327', '鲁JKX339']",未知
818,群众报警本田撞护栏驾驶员逃逸,花园东路与奥体中路东100米,['本田'],[],相撞
819,迈腾鲁av256p与帕萨特鲁ayb091与凯迪拉克鲁a578u7追尾,经十西路区政府往东500米 路南,['凯迪拉克'],"['鲁AV256P', '鲁AYB091', '鲁A578U7']",相撞
820,两辆轿车相撞人没事,汽车站西路口,[],[],相撞
821,货车鲁AC82G2刮擦三轮47b63人没事,国棉一市场内,[],['鲁AC82G2'],刮擦
822,一辆五菱面包车鲁A300w6被一辆宝马鲁As3w76已逃逸逃逸方向不详刮擦无人受伤,北园大街中恒商城北边停车场,['宝马'],"['鲁A300W6', '鲁AS3W76']",刮擦
823,鲁A6M537鲁NVC556两辆轿车事故无伤,山大北路往南100米汇科旺园门口闵子骞路上,[],"['鲁A6M537', '鲁NVC556']",未知
824,报警人称林肯与飞跃事故鲁ay178p鲁adcm67无伤亡,凤凰路与龙奥北路交口往北50米,['林肯'],"['鲁AY178P', '鲁ADCM67']",未知
825,轿车鲁A310NC与电动车事故轻伤120已到,二环北路柴火市  具体位置说不清,[],['鲁A310NC'],未知
826,鲁AE5Y36别克与尼桑鲁AU110D事故报警人在纬十二路将尼桑追上,经十路纬十二路路口,['别克'],"['鲁AE5Y36', '鲁AU110D']",未知
827,电动三轮与电动车事故受伤不要120,取消：普利街自来水厂西门门口,[],[],未知
828,电动车被一辆拐弯的轿车别倒,实验小学门口对面,[],[],未知
829,帕萨特鲁ax381y与起亚鲁a086am刮擦正常走保险备案,济泺路山东通讯城停车场入口,['起亚'],"['鲁AX381Y', '鲁A086AM']",刮擦
830,出租车与电动车事故受伤不要120鲁AT6561,,[],['鲁AT6561'],未知
831,货车鲁A312CU与轿车鲁Avm522刮擦无人员伤亡司机酒驾现找人来顶包,董家村张二村西侧,[],"['鲁A312CU', '鲁AVM522']",刮擦
832,三轮车撞了天籁鲁aw5z95协商不了,坝王路,[],['鲁AW5Z95'],相撞
833,鲁ap0n97吉利撞门岗需开证明,颖秀路美联广场西门对面,[],['鲁AP0N97'],相撞
834,大众鲁a08v87与金杯面包车鲁a706fr事故无伤亡,催警 二环东路 七里堡 铁路桥  北往南,"['大众', '金杯']","['鲁A08V87', '鲁A706FR']",未知
835,鲁a110jk福特与鲁ag501C别克追尾车不能动人受伤情况不明请交警速到场,南郊宾馆东门,"['福特', '别克']","['鲁A110JK', '鲁AG501C']",相撞
836,捷达鲁apk653与鲁au5b81现代事故无伤,奥体中路省立医院门口,['现代'],"['鲁APK653', '鲁AU5B81']",未知
837,雪佛兰与一汽事故无伤鲁AUT235鲁AVS159,大桥镇与220路口南300米,"['雪佛兰', '一汽']","['鲁AUT235', '鲁AVS159']",未知
838,鲁A6M537鲁NVC556两辆轿车事故无伤,催警：山大北路往南100米汇科旺园门口闵子骞路上,[],"['鲁A6M537', '鲁NVC556']",未知
839,自行车与汽车鲁AE67M8刮擦人没事,经四路纬九路口 海佑崇华写字楼门口,[],['鲁AE67M8'],刮擦
840,ee,,[],[],未知
841,报警人称一轿车和电动车相撞,锦东公路局对面,[],[],相撞
842,摩托车无牌撞行人人员腿伤省立东院,解放路东头燕山新居南门  ,[],[],相撞
843,丰田鲁A658TV和大众鲁PQ9396和鲁A871PT路虎事故人没事,二环东路和山大北路口南 倪氏海泰大酒店门口,"['丰田', '大众', '路虎']","['鲁A658TV', '鲁PQ9396', '鲁A871PT']",未知
844,昨天下午四点半电动三轮车与铃木鲁A972EY事故人伤已经就医,清河南路141号工业园内,['铃木'],['鲁A972EY'],未知
845,昨天下午4点半鲁A972EY铃木轿车和三轮车事故人当时受伤去医院现在补报警,历城区优公路141号,['铃木'],['鲁A972EY'],未知
846,标致鲁ak928e撞孩子腿部受伤不需要120,段店立交桥下南侧  ,['标致'],['鲁AK928E'],相撞
847,鲁AE20J2别克与鲁A2300K宝马撤离现场后找不到宝马车主,经十路省立医院路段,"['别克', '宝马']","['鲁AE20J2', '鲁A2300K']",未知
848,丰田鲁AR2N03和电动车事故人受伤自行联系120,七贤广场 中国石化加油站门口,['丰田'],['鲁AR2N03'],未知
849,鲁AE20J2别克与鲁A230qK宝马撤离现场后找不到宝马车主,更改 经十路省立医院路段,"['别克', '宝马']","['鲁AE20J2', '鲁A230QK']",未知
850,两货车刮擦人没事,104国道高速出口,[],[],刮擦
851,一辆自行车与一辆白色轿车车号不详往西逃逸刮擦有人受伤不需120现在需要去省立医院,催警  经六路123号门口,[],[],未知
852,报警人称林肯与飞跃事故鲁ay178p鲁adcm67无伤亡,催警凤凰路与龙奥北路交口往北50米,['林肯'],"['鲁AY178P', '鲁ADCM67']",未知
853,货车鲁A62787与别克鲁AQ235N刮擦无人员伤亡,催警  工业北路郭店高速路口,['别克'],"['鲁A62787', '鲁AQ235N']",刮擦
854,鲁ANM120与鲁AU432V事故双方对事故有争议,取消 凤凰山国际名酒城地下一层停车场,[],"['鲁ANM120', '鲁AU432V']",未知
855,鲁CF0986货车和三轮车事故无伤,307章丘西侧圣井中桥西,[],['鲁CF0986'],未知
856,鲁a80k99面包与鲁w23997轿车追尾已保险,备案：舜耕路济南口腔医院门口八里洼站牌,[],"['鲁A80K99', '鲁W23997']",相撞
857,鲁AE20J2别克与鲁A2300K宝马撤离现场后找不到宝马车主,取消：经十路省立医院路段,"['别克', '宝马']","['鲁AE20J2', '鲁A2300K']",未知
858,早上10点多的事故金杯货车鲁A706F2和大众鲁A08V87事故现在工业南路理赔中心交警称无法定责要重新报警无伤亡,二环东路七里堡铁路桥下,"['金杯', '大众']","['鲁A706F2', '鲁A08V87']",未知
859,两辆电动车事故对方逆行对方有点晕不需要120,莱芜路 腊山河西路 桥上东侧路南侧  梦世界西南角,[],[],未知
860,雪佛兰鲁A07H95与广汽传祺冀QD576K责任不明确对方可能酒驾要求交警到,催警：二环东路南全福街东口,['雪佛兰'],"['鲁A07H95', '冀QD576K']",未知
861,雪铁龙鲁EW2857和本田鲁AF80C8事故人没事,济南黄河大桥收费站北1公里,"['雪铁龙', '本田']","['鲁EW2857', '鲁AF80C8']",未知
862,出租车与箱货刮擦人没事,二中门口,[],[],刮擦
863,快处吉利鲁ap6519与出租车鲁at2107刮擦,快处：肉联厂门口路北 ,[],"['鲁AP6519', '鲁AT2107']",刮擦
864,出租车鲁AT6355别克鲁AWF857乘客受伤,趵突泉南门路南,['别克'],"['鲁AT6355', '鲁AWF857']",未知
865,两轿车事故人没事,一中北门,[],[],未知
866,通讯设备被车撞坏车辆逃逸无伤,柳埠镇刘家村闫家办事处门口,[],[],未知
867,吉利与货车事故鲁azw803鲁mdc663无伤亡,京沪高速黄河大桥药山聊城方向,[],"['鲁AZW803', '鲁MDC663']",未知
868,轿车越野车事故人没事,玉符街鸿运来酒店门口,[],[],未知
869,电动三轮车与福特鲁ad5w21事故不需要120,纬十二路 路劲御景城  停车场出口  ,['福特'],['鲁AD5W21'],未知
870,三轮车和江淮鲁AL881T事故无伤协商不成,机场路南郭村,['江淮'],['鲁AL881T'],未知
871,fdsaf,,[],[],未知
872,鲁A811CH停在此处被刮擦,天桥山大二院院内停车场,[],['鲁A811CH'],刮擦
873,2月5日1820鲁a3115y比亚迪与别克刮擦约好快处现在失联,振华商厦北第一条路,"['比亚迪', '别克']",['鲁A3115Y'],刮擦
874,起亚鲁AFC573追尾尼桑鲁AH796Y走保险,工业南华信路,['起亚'],"['鲁AFC573', '鲁AH796Y']",相撞
875,标致鲁ak928e撞孩子腿部受伤不需要120,催警 段店立交桥下南侧  ,['标致'],['鲁AK928E'],相撞
876,电动车与电动车事故无伤,英雄山西门门口,[],[],未知
877,奔驰鲁am8b56与电动车刮擦电动车主逃逸无人员受伤,黄冈路济齐路交叉口,['奔驰'],['鲁AM8B56'],刮擦
878,一辆铃木雨燕鲁AV1Q38与一辆哈佛鲁A806tr追尾无人受伤车损超五千,催警 郭店街道办事处东3公里 102省道与山前小区门口交汇处 进小区方向,['铃木'],"['鲁AV1Q38', '鲁A806TR']",相撞
879,公交27路鲁AH1759与电动三轮车事故无伤,老屯汽配城,[],['鲁AH1759'],未知
880,两电动车刮擦第三方受伤,经五小玮六口,[],[],刮擦
881,标致鲁av611v与福特鲁ag89d0发生刮擦,催警   龙奥北路与奥体东路交界口,"['标致', '福特']","['鲁AV611V', '鲁AG89D0']",刮擦
882,两车事故已转高速,京福高速南往北济南北天桥 黄河大桥桥上,[],[],未知
883,标致鲁ak928e撞孩子腿部受伤不需要120,催警 段店立交桥下南侧,['标致'],['鲁AK928E'],相撞
884,丰田鲁ac956b与宝马鲁al710q事故无伤,泺口皮革城地下停车场,"['丰田', '宝马']","['鲁AC956B', '鲁AL710Q']",未知
885,鲁N6198U吉利和鲁A3358R五菱面包车事故无伤,将军路高强王路口,[],"['鲁N6198U', '鲁A3358R']",未知
886,fdsfas,,[],['鲁FDSFAS'],未知
887,雪佛兰鲁A07H95与广汽传祺冀QD576K责任不明确,快处：二环东路南全福街东口,['雪佛兰'],"['鲁A07H95', '冀QD576K']",未知
888,长安鲁AF58Y0与马自达鲁A0F021找不到对方没留联系方式上午报警过,王舍人华联超市门口,"['长安', '马自达']","['鲁AF58Y0', '鲁A0F021']",未知
889,半挂车鲁L29662与翻斗车事故无伤亡翻斗车离开,郭店高速路口左拐102省道路口北边,[],['鲁L29662'],未知
890,出租车鲁AT4960与电动三轮车事故无伤亡,土屋路与玉函路路口加气站路段,[],['鲁AT4960'],未知
891,吉axx779轿车与鲁al6239罐车追尾,备案：清河北路与标山路口,[],"['吉AXX779', '鲁AL6239']",相撞
892,鲁abl903长城与电动车受伤,中林路和八涧堡路路口,['长城'],['鲁ABL903'],未知
893,面包车与电动车刮擦1人受伤,地税局路口,[],[],刮擦
894,鲁AR610G与鲁AL380L刮擦备案,二环东山大路下口,[],"['鲁AR610G', '鲁AL380L']",刮擦
895,昨天下午4点半鲁A972EY铃木轿车和三轮车事故人当时受伤去医院现在补报警,催警  历城区优公路141号,['铃木'],['鲁A972EY'],未知
896,报警人称201802061651曾报警出租车鲁AT1075与捷达鲁AY809S事故无伤亡现对方车主不配合处理事故求助,山东电视台南门口,[],"['鲁AT1075', '鲁AY809S']",未知
897,货车轿车事故人没事,京福泰安方向距服务区1公里,[],[],未知
898,test,,[],[],未知
899,333,,[],[],未知
900,1,,[],[],未知
901,别克鲁A073EW与五菱鲁A338QL事故无伤亡,,['别克'],"['鲁A073EW', '鲁A338QL']",未知
902,鲁AZ8N86东风景逸和鲁A293BJ大众甲壳虫事故无伤备案,山大路,['大众'],"['鲁AZ8N86', '鲁A293BJ']",未知
903,公交车7路与大巴车人员受伤车牌不详,槐荫区政府,[],[],未知
904,面包鲁a176mr与别克鲁r5b56z追尾备案,历下区政府门口,['别克'],"['鲁A176MR', '鲁R5B56Z']",相撞
905,一辆SUV与一辆帝豪出租车发生事故双方一直没有撤现场引起交通拥堵,,[],[],未知
906,23日事故42厢货与电动车刮擦双方协商不了,无影山中路重汽彩世界北侧门头房路南,[],[],刮擦
907,两辆轿车相撞人没事,老药材公司北第一个路口往东,[],[],相撞
908,快处日产鲁a658np与大众鲁a96h32刮擦无人员受伤,快处：经二纬一路口往西一点,"['日产', '大众']","['鲁A658NP', '鲁A96H32']",刮擦
909,鲁ad5916大众与鲁ah32j6吉利刮擦撤现场后吉利逃逸,经一路火车站出口西100米,['大众'],"['鲁AD5916', '鲁AH32J6']",刮擦
910,面包车撞电动三轮有人受伤,丽景桥附近,[],[],相撞
911,瑞丰川A717PN与五菱鲁A3702X刮擦无人员伤亡,电建路与工业北路,[],"['川A717PN', '鲁A3702X']",刮擦
912,1111,,[],[],未知
913,轿车与面包车相撞,文昌中学路口,[],[],相撞
914,电动三轮车与越野车刮擦人没事,地税局路口西侧,[],[],刮擦
915,面包鲁a176mr与别克鲁r5b56z追尾要求交警处理对方无驾照,历下区政府门前,['别克'],"['鲁A176MR', '鲁R5B56Z']",相撞
916,2月6日2120鲁a68501货车与鲁a67791事故交警当时出现场现在对方不让对方及车辆离开,港九路河西村村南,[],"['鲁A68501', '鲁A67791']",未知
917,轿车与电动三轮相刮,县委路口,[],[],未知
918,私家车与货车事故无伤,省立医院南面路口,[],[],未知
919,摩托车鲁AAR230与电动车事故无伤亡,文化东路与山大路路口,[],['鲁AAR230'],未知
920,两车事故记不清对方车牌需查报警记录,1月9日   经四路顺河高架下口,[],[],未知
921,报警人称荣威与比亚迪事故鲁az102t鲁an9l25无伤亡,泉城路办事处门口,"['荣威', '比亚迪']","['鲁AZ102T', '鲁AN9L25']",未知
922,别克鲁AY7365刮擦鲁AU7L25奥迪后逃逸,旅游路二环东路口,"['别克', '奥迪']","['鲁AY7365', '鲁AU7L25']",刮擦
923,川a717pn瑞丰与鲁a3702x面包GUACA,备案:电建路与工业北口南20米,[],"['川A717PN', '鲁A3702X']",未知
924,电动车与行人事故人受伤,大明湖路大明湖南门往东300米,[],[],未知
925,帝豪鲁A987PJ与电动车车损协商不了,经十山大路北200米金马大酒店门口,[],['鲁A987PJ'],未知
926,快处依维柯鲁h360dz与货车鲁a19780刮擦,快处：郭店高速口,[],"['鲁H360DZ', '鲁A19780']",刮擦
927,早上九点半宝马鲁AB08E8与电动车发生事故需要交警处理,东西丹凤街,['宝马'],['鲁AB08E8'],未知
928,鲁V7B365凯迪拉克13153137979与轿车刮擦鲁v车驾驶员报警要求交警现场处理,催警：花园路华信路口西100米,['凯迪拉克'],['鲁V7B365'],刮擦
929,鲁A959V黑色轿车撞了其电动车后逃逸无伤亡,取消：窑头路1-27号 统一银座正对面,[],[],相撞
930,两个电动车碰撞无伤亡,经十路历山路口西北角,[],[],相撞
931,鲁LDX967日产肖克和鲁AC510V斯柯达事故无伤,高新区龙奥北路陈香路,"['日产', '斯柯达']","['鲁LDX967', '鲁AC510V']",未知
932,本田无车牌与电动车事故无伤,市中区车管所门口,['本田'],[],未知
933,eee,,[],[],未知
934,别克鲁a259ge与长城鲁aqz700事故无伤亡,少年路南门路口  ,"['别克', '长城']","['鲁A259GE', '鲁AQZ700']",未知
935,历下大队警情,,[],[],未知
936,桑塔纳鲁ASG285与公交车鲁A03809F桑塔纳轻伤,二环西与刘长山路路口公交站牌,[],['鲁ASG285'],未知
937,报警人称2月4号早上630分左右鲁a87317猎豹与SUV当时协商好的现在对方失联,天桥区大桥镇220和104交叉口,[],['鲁A87317'],未知
938,两电动车事故人没事,人市路口,[],[],未知
939,两车事故丰田和尼桑人没事车能开省内车,快处：生产路高架桥下口路西侧,['丰田'],[],未知
940,摩托鲁A41120与三轮刮擦自行协商备案,文化东历山路口东南角,[],['鲁A41120'],刮擦
941,2017年8月20日的事故鲁A233WN长安与鲁AE885L别克商务事故当时双方协商现在对方不配合处理希望交警处理,机场路工业北路口南2公里,"['长安', '别克']","['鲁A233WN', '鲁AE885L']",未知
942,报警人称东风与众泰事故无伤亡鲁A79F13鲁A866DA,经六纬二路口向南50米,"['东风', '众泰']","['鲁A79F13', '鲁A866DA']",未知
943,一辆出租车鲁AT4828与一辆雪佛兰鲁A707R3刮擦,备案：花店街与朝阳街路口中间  东向西方向,['雪佛兰'],"['鲁AT4828', '鲁A707R3']",刮擦
944,出租车鲁AT6097与鲁JEA912马自达追尾水箱漏了,北园高架西向东南全福大街路段,['马自达'],"['鲁AT6097', '鲁JEA912']",相撞
945,现代鲁AQ511R与雪佛兰鲁AC5U35事故无伤亡,臧家屯北园派出所门口,"['现代', '雪佛兰']","['鲁AQ511R', '鲁AC5U35']",未知
946,迈腾鲁AA22C6与大众鲁AY0C52事故无伤亡,泉城路与榜棚街,['大众'],"['鲁AA22C6', '鲁AY0C52']",未知
947,箱货鲁AK72W0与吉普鲁AKK390与半挂车鲁M99935事故有人受伤不需120,遥墙机场下高速收费站向北200米  前往济阳黄河大桥方向,[],"['鲁AK72W0', '鲁AKK390', '鲁M99935']",未知
948,报警人称两车刮擦已告知协商处理,经四路纬二路口,[],[],刮擦
949,别克鲁a259ge与长城鲁aqz700事故无伤亡,催警  少年路南门路口,"['别克', '长城']","['鲁A259GE', '鲁AQZ700']",未知
950,车撞在树上,沙河卫生院南龙怀路西,[],[],相撞
951,鲁ah1780大客与鲁a002uu别克追尾协商不成要求民警到场,经十路临港南区,['别克'],"['鲁AH1780', '鲁A002UU']",相撞
952,帝豪鲁A987PJ与电动车车损协商不了,经三路,[],['鲁A987PJ'],未知
953,鲁AM1162被刮擦有行车记录仪到中队处理,旅游路东山路国华东方美郡,[],['鲁AM1162'],刮擦
954,面包车撞一电动车,韩庙东燕桥头,[],[],相撞
955,厢货鲁ay339p与电动三轮车事故不需要120,大辛庄 南侧,[],['鲁AY339P'],未知
956,鲁aq161r起亚与电动车人都没事协商不成电动不让轿车走,顺河北路黄台家具广场西200米建设银行,['起亚'],['鲁AQ161R'],未知
957,快处迈腾鲁aa22c6与桑塔纳鲁ay0c52刮擦人没事,快处：省府前街,[],"['鲁AA22C6', '鲁AY0C52']",刮擦
